date,year,extremum_type,sentiment_value,video_id,video_title,comments_on_date,comments_on_video,video_share_of_discussion
2024-04-06,2024,min,-0.03008279710931,xYV3__2xN7s,Ex-Russian official issues warning about Putin,1631,1010,0.6192519926425506
2024-04-18,2024,max,0.0365931635181498,kbKyneAiTn4,Here's what Russian media is saying about Marjorie Taylor Greene's push to end Ukraine aid,6865,4563,0.6646758922068463
2024-05-07,2024,min,-0.076208863252271,AgVJUBcakpE,Hear Putin's message to the West during  fifth term inauguration speech,821,821,1.0
2024-05-15,2024,max,-0.0293408717445885,xipYA62IgP4,'Catastrophic moment': Russia advances on key city in Ukraine,1633,904,0.5535823637477036
2024-05-22,2024,max,-0.0292724532882683,RC_bQZ3xy58,'Extraordinary': Reporter reacts to Soviet-era weapons Ukraine is using to fight off Russia,341,341,1.0
2024-05-30,2024,min,-0.0719124606173446,m__3JVPzLiw,How Putin’s war in Ukraine has led to boost for US military,630,630,1.0
2024-06-19,2024,max,0.1013311545365259,EYItYnhRHjo,See how Russian state TV talked about Putin's trip to North Korea,2101,1544,0.7348881485007139
2024-07-11,2024,min,0.0137855333761569,FTp00khr-G4,See moment Biden mistakenly calls Zelensky 'President Putin',2154,2154,1.0
2024-07-20,2024,max,0.0640487749756098,xGMYsxJCkoc,Putin is ‘growing desperate’ says Estonian ambassador,1544,1544,1.0
2024-08-13,2024,min,-0.0238449749075849,W1T_wvVnR_Q,‘This is really big’: Retired colonel reacts to Ukraine’s advancement into Russia,4138,2018,0.4876752054132431
2024-08-17,2024,min,-0.0267523053550363,R9u3Km4jhiE,CNN gains access to Ukrainian-held Russian town,1857,1857,1.0
2024-08-29,2024,min,-0.0644697956052218,StMyLIJSiMg,Ukraine pushing for US approval to strike a list of targets in Russia,611,611,1.0
2024-09-09,2024,max,0.009846952295683,okkWlURRilo,Ex-convicts helping Ukraine’s military defend key city against Russian advance,918,918,1.0
2024-09-11,2024,min,-0.0427251975054328,lNxj-cL3pZE,‘Incredibly alarming’: Ex-Pence adviser on Trump’s Ukraine answer,496,432,0.8709677419354839
2024-11-05,2024,max,0.0892475015868143,eOXtvKkqpaE,Brad Raffensperger: Polling place bomb threats were ‘Russian in origin’,1010,1010,1.0
2024-11-18,2024,min,-0.0555075695621224,ZR-mDtsHrJM,'Missiles will speak for themselves': Zelensky reacts to US allowing use of long-range inside Russia,967,967,1.0
2024-11-20,2024,max,-0.018811500450078,7ras1-O0UPY,White House approves sending anti-personnel mines to Ukraine in another major policy shift,1834,988,0.5387131952017448
2024-11-24,2024,max,-0.0048901281145229,V7AURVVuGZs,72 Hours of Escalation in Ukraine,109,109,1.0
2024-11-26,2024,min,-0.0257083171054353,XZ5QCX45maU,"Drone attack underway in Kyiv, mayor says",714,714,1.0
2024-12-04,2024,min,-0.004788302350148,DvJKRbeAYvU,Watch CNN’s full interview with Russia’s Deputy Foreign Minister,2245,1397,0.622271714922049
2024-12-09,2024,max,0.0263365517472011,6R1JXjN05A8,Assad flees to Russia as Syria falls to rebels. See how it unfolded,1870,1870,1.0
2024-12-17,2024,min,0.0023988754848259,g5cpKMlIRac,Military expert explains Ukraine’s message to Russia in targeting general in Moscow,1801,1017,0.5646862853970017
2024-12-24,2024,max,0.0764789154371717,KnM1wst4oSw,"‘I am not a spy, I never have been’: Whelan on his time in Russian imprisonment",110,110,1.0
2025-01-25,2025,min,-0.0246633594143063,EG3OQkfDDfA,Video shows massive fire at Russian oil refinery,96,96,1.0
2025-01-28,2025,max,0.0602670833344325,TwfMDKvuT7Y,"'World, watch closely': Notes found on fallen North Korean soldiers fighting in Ukraine",3013,3013,1.0
2025-02-11,2025,max,0.043216559851243,mtk5-zf5aEk,Poland's president reacts to Trump's claim Ukraine 'may be Russian someday',6465,6296,0.9738592420726991
2025-02-19,2025,min,-0.0797337497704114,lH1bemnt1eY,"Trump falsely blames Ukraine for starting war with Russia, echoing Putin's talking point",15922,9622,0.6043210651928149
2025-03-01,2025,min,-0.061089658358548,-P6tVgFSY-I,What's next for Ukraine after Oval Office argument,168,168,1.0
2025-04-01,2025,max,0.1380339367452537,gUPnzRiUQu4,Military expert reveals what he thinks is Russia's biggest weakness amid Ukraine war,1351,1351,1.0
2025-04-20,2025,min,-0.0126395361716153,uDUhv32Me2Q,Putin offers Zelensky a short Easter truce,171,171,1.0
2025-04-25,2025,max,0.0241116052738498,FaCmsWy-d_A,Trump: Russia not taking all of Ukraine is a 'big concession',2778,1519,0.546796256299496
2025-05-07,2025,min,-0.0016882367197216,lsVewzypwJY,'Modern-day appeasement': Biden criticizes Trump for Ukraine stance,564,419,0.7429078014184397
2025-05-11,2025,max,0.0270933482980299,nIRBuSM9RGo,Putin proposes direct talks with Ukraine. Zelensky: Ukraine 'ready to meet',428,428,1.0
2025-05-17,2025,max,0.0365146382923725,3qhaeDXTacY,Trump says he will speak with Putin on the phone Monday,641,641,1.0
2025-05-21,2025,min,0.0024250328911935,GNzZktDXVqA,Former US Ambassador to Ukraine explains why she resigned,1474,848,0.5753052917232022
2025-05-29,2025,max,0.0469015214657543,m1b8O2D_5Fs,German MP: The US is ‘a reliable partner for Putin’,521,521,1.0
2025-06-04,2025,min,-0.0268885860472737,rJ1VoPhzopc,New video captures Ukraine's bold drone strike on Russian planes,2776,1409,0.5075648414985591
2025-07-04,2025,max,0.037454390497865,pDXG_umXDSw,Trump says he is ‘very disappointed’ after call with Putin,4349,1973,0.4536675097723615
2025-07-08,2025,min,0.012433196880577,DgLP4bRNf9A,See moment Trump vents his anger about Putin during Cabinet meeting,2751,1034,0.3758633224282079
2025-07-10,2025,max,0.0383712547403402,i2NHKOFBCyc,Hear what Pence thinks is behind Trump's shift on Putin,3545,2752,0.7763046544428773
2025-07-15,2025,max,0.0398547659657204,A0dDHrggByQ,Russia unleashes 'massive attack' on Ukraine amid Trump's ultimatum,4076,2307,0.5659960745829244
2025-07-22,2025,min,-0.0170281388307659,NDilGG-xEgs,Trump threatens to ‘go after people’ and accuses Obama of treason over Russia investigation,4818,4818,1.0
2025-08-04,2025,max,0.0742672839203363,gU6wGtV63Fw,Source: Bondi orders grand jury probe into Obama officials over Russia investigation,2944,2370,0.8050271739130435
2025-08-11,2025,min,-0.038300811960115,isxUyVhPahA,"US officials rush to finalize details of Trump-Putin summit, including if Zelensky will be invited",578,485,0.8391003460207612
2025-08-16,2025,max,0.0174411260668363,EY9mwuIMFKM,"Bolton: 'Trump did not lose, but Putin clearly won'",18296,5576,0.30476606908613907
2025-08-17,2025,min,0.0054631010207425,tQ7ceYbVvUM,Former VP Pence: The hammer needs to come down ‘immediately’ on Putin,2465,1208,0.4900608519269777
2025-08-26,2025,max,0.038159095670573,rrqwbBJKc18,Former NATO commander: Putin playing ‘rope-a-dope' with Trump,262,207,0.7900763358778626
2025-08-31,2025,min,0.0261066608984885,ydNi1K6cmuk,China’s Xi rolls out the red carpet for Putin and Modi as Trump upends global relations,1905,1905,1.0
2025-09-17,2025,max,0.1193607353286015,Z2DIkan8QyQ,Widow of Russian opposition figure Alexey Navalny says he was poisoned in prison,138,138,1.0
2025-10-09,2025,min,-0.0041920961976,ga35lKet2_Y,How Taiwan quietly became the world's top buyer of a Russian oil product,27,27,1.0
2025-10-15,2025,max,0.0348276283655381,QkaV6bD8rz0,Pete Hegseth says more ‘firepower’ is coming to Ukraine,352,352,1.0
2025-10-20,2025,max,0.0558475743188786,gPlWn17cseQ,"Report: Trump got into 'shouting match' with Zelensky, echoed Putin talking points",2384,2384,1.0
2025-10-24,2025,min,0.0105946938308625,o0u8-hTZMss,"Greenland’s defenses are being bolstered against Russia and China, but the real target is Trump",659,535,0.8118361153262519
2025-11-08,2025,max,0.0601040145231237,5PEIlusom9I,Putin confronted by 11-year-old girl,185,185,1.0
2025-11-21,2025,min,-0.0760544270803159,myIdliK1YMI,Zelensky cautions Trump’s path to ending war could leave Ukraine without dignity or its key US ally,2190,2089,0.9538812785388128
2025-11-23,2025,max,-0.0501381741487016,3657IsNuuI0,Secretary Rubio speaks about discussions with Ukraine,808,808,1.0
